celsr1b	ZDB-GENE-050823-4
esr1	ZDB-GENE-020806-5
si:dkey-65b12.12	ZDB-GENE-060526-325
CR936457.1	
zgc:174945	ZDB-GENE-080204-80
nup153	ZDB-GENE-030131-4581
BX927210.1	
dbn1	ZDB-GENE-091204-284
CR626907.3	
si:dkeyp-3f10.11	
cfdp1	ZDB-GENE-030131-5736
cyp2aa4	ZDB-GENE-040625-72
txlng	ZDB-GENE-060616-122
anxa5a	ZDB-GENE-080220-29
abhd17aa	ZDB-GENE-030131-840
or102-2	
BX323797.1	
lama4	ZDB-GENE-040724-213
CR626884.6	
hoxb1b	ZDB-GENE-980526-290
asb14a	ZDB-GENE-140106-2
adrb3a	ZDB-GENE-080917-21
NPC1L1	
BX465215.1	
CR376858.1	
map3k7	ZDB-GENE-041001-135
BX927234.2	
ubr4	ZDB-GENE-090313-341
ush1ga	ZDB-GENE-131120-173
gbgt1l4	ZDB-GENE-031204-4
FP074902.5	
foxo3a	ZDB-GENE-050116-1
si:dkey-120c6.5	ZDB-GENE-131121-595
BX664750.3	
c1qtnf6b	ZDB-GENE-080411-1
sgk2a	ZDB-GENE-030131-9632
lrrc75ba	ZDB-GENE-081104-225
hip1rb	ZDB-GENE-070209-59
zgc:154055	ZDB-GENE-060929-612
klhl30	ZDB-GENE-100913-2
ptger4a	ZDB-GENE-060222-1
reep3a	ZDB-GENE-051127-47
CR352292.1	
npm2a	ZDB-GENE-060810-57
ifitm5	ZDB-GENE-030131-8970
ccl34b.1	ZDB-GENE-091204-276
CR388163.1	
CU856622.1	
msl1b	ZDB-GENE-030131-4491
CR383680.3	
FP102052.2	
itga2b	ZDB-GENE-051031-1
zgc:162958	ZDB-GENE-030131-6002
CU915534.1	
akap11	ZDB-GENE-090804-1
si:ch211-209n20.59	
unc80	
rpl23	ZDB-GENE-030131-8756
CR388363.1	
haao	ZDB-GENE-041114-89
rbm24b	ZDB-GENE-060312-43
col7a1	ZDB-GENE-030131-2427
gga3a	ZDB-GENE-041111-218
slc1a7b	ZDB-GENE-101111-7
ndufs8a	ZDB-GENE-040426-2153
C8H9orf64	
si:ch211-168f7.5	ZDB-GENE-030131-897
AL732567.1	
tmem106bb	ZDB-GENE-050913-37
AL928701.1	
tspan18b	ZDB-GENE-040718-137
CR769778.2	
ccr8.1	ZDB-GENE-070302-1
tube1	ZDB-GENE-040426-1174
CARTPT	
si:dkey-122c11.7	
or106-2	
emx3	ZDB-GENE-990415-53
smim4	
si:ch211-251g8.5	
grin2bb	ZDB-GENE-061207-27
si:ch211-262i1.5	ZDB-GENE-030131-3152
sat1b	ZDB-GENE-041001-39
LO018256.1	
myo9b	ZDB-GENE-030131-938
megf8	ZDB-GENE-090730-1
BX548061.1	
tmlhe	ZDB-GENE-091204-144
gcga	ZDB-GENE-010219-1
BX511184.1	
aars2	ZDB-GENE-041008-213
mtif3	ZDB-GENE-060228-1
taar14e	ZDB-GENE-041210-317
zyg11	ZDB-GENE-041014-17
AL935199.2	
clstn1	ZDB-GENE-040426-1064
CR762493.1	
hexdc	
si:dkey-105h12.2	ZDB-GENE-131118-9
prf1.5	ZDB-GENE-081105-3
si:dkey-4p15.5	ZDB-GENE-121214-193
stac	ZDB-GENE-131121-459
rps6ka3b	ZDB-GENE-070209-74
CR394546.5	
si:dkey-264f17.2	ZDB-GENE-110913-14
slc38a3b	ZDB-GENE-121120-3
nat9	ZDB-GENE-030131-5097
dtwd1	ZDB-GENE-041010-23
tmem42b	ZDB-GENE-170410-1
AL929210.1	
mpnd	ZDB-GENE-060929-1162
dre-mir-125b-3	
CR388164.3	
hbae5	ZDB-GENE-101028-1
rimkla	ZDB-GENE-040912-20
si:dkey-40c23.1	
dusp1	ZDB-GENE-040426-2018
si:ch73-206p6.1	ZDB-GENE-030131-5048
igsf9b	ZDB-GENE-060810-28
si:dkey-271j15.3	ZDB-GENE-100921-27
si:dkey-95p16.2	
itgb5	ZDB-GENE-030131-6022
ponzr6	ZDB-GENE-081104-326
AL928927.1	
pak2b	ZDB-GENE-030131-3759
BX957252.2	
si:ch211-207c7.2	
mpl	ZDB-GENE-060421-1
rps27.2	ZDB-GENE-040426-1735
kcnj12a	ZDB-GENE-131126-14
CABZ01065684.1	
FP565451.2	
BX510919.1	
BX942819.3	
smg1	ZDB-GENE-061013-767
BX649399.12	
zmp:0000000608	
cyp8b2	
BX649263.1	
BX284666.1	
p3h3	ZDB-GENE-060503-231
arf2b	ZDB-GENE-030131-5234
taar19e	ZDB-GENE-091116-66
ndufs6	ZDB-GENE-040912-86
kif18a	ZDB-GENE-040426-862
ssh2b	ZDB-GENE-081205-4
coro6	ZDB-GENE-040426-1202
FO904934.3	
si:dkey-217f16.6	
BX957333.2	
LO017821.1	
stx1b	ZDB-GENE-000330-4
si:ch211-231i17.4	
FP103048.1	
slc4a11	ZDB-GENE-090313-183
cbx7a	ZDB-GENE-050417-400
wdr61	
si:dkey-106g10.7	
cdh15	ZDB-GENE-030131-780
syt7b	ZDB-GENE-090601-6
st8sia6	ZDB-GENE-060322-9
si:ch211-264f5.8	
dtnbb	ZDB-GENE-070117-3
tp73	ZDB-GENE-030814-2
si:ch211-230g15.5	ZDB-GENE-091204-280
cltcl1	ZDB-GENE-130530-1029
ftr04	
hoxc4a	ZDB-GENE-990415-112
dre-mir-2197	
gdpd3a	ZDB-GENE-040426-2279
si:ch211-175m2.5	ZDB-GENE-130530-947
arhgap23b	ZDB-GENE-081031-78
xpo1a	ZDB-GENE-050309-201
dnajb13	ZDB-GENE-040910-4
si:dkeyp-67f1.1	
AL929576.1	
eif1axb	ZDB-GENE-030131-1319
soga1	
pimr169	
pax9	ZDB-GENE-980526-399
hpse	ZDB-GENE-041111-200
CR388172.12	
usp20	ZDB-GENE-040426-1219
pax1b	ZDB-GENE-060503-372
eps8l1a	ZDB-GENE-050306-14
si:dkey-58i8.5	ZDB-GENE-160728-66
spryd7b	ZDB-GENE-040426-1634
CR388206.4	
tprg1	ZDB-GENE-070410-113
siva1	ZDB-GENE-050506-57
efcab2	ZDB-GENE-070521-5
mbd6	ZDB-GENE-041027-3
slmapb	ZDB-GENE-040426-809
chrm4b	ZDB-GENE-090410-7
cryba4	ZDB-GENE-050522-143
CR936300.1	
BX890543.1	
ndufb6	ZDB-GENE-040426-1781
ncdn	ZDB-GENE-061220-6
sergef	ZDB-GENE-061220-11
mtg1	ZDB-GENE-031110-2
heatr5b	ZDB-GENE-130530-676
myt1a	ZDB-GENE-030131-3885
si:dkey-262g12.10	ZDB-GENE-161017-33
CR926128.7	
abi1b	ZDB-GENE-060929-1182
RAMP1	
map4k3a	ZDB-GENE-130329-1
katnal2	ZDB-GENE-051113-156
CABZ01079260.1	
zgc:123284	ZDB-GENE-051113-92
smg7	ZDB-GENE-030131-9122
BX323082.1	
foxo4	ZDB-GENE-150311-1
pcdh1a6	ZDB-GENE-050203-2
tfr1a	ZDB-GENE-041220-1
hp	ZDB-GENE-030131-1259
si:dkeyp-7a3.1	
htr2b	ZDB-GENE-081022-57
oxgr1a.3	ZDB-GENE-090312-23
znf704	ZDB-GENE-060503-775
fam169ab	
si:ch211-57m13.9	ZDB-GENE-110411-61
si:ch211-207i20.3	ZDB-GENE-141222-71
BX511218.1	
prkx	ZDB-GENE-090313-408
itih6	ZDB-GENE-050603-1
si:dkey-28d5.4	ZDB-GENE-060503-72
aagab	ZDB-GENE-040718-120
si:dkey-56f14.4	
p4hb	ZDB-GENE-080610-1
her15.2	ZDB-GENE-070627-1
si:dkey-21e2.15	ZDB-GENE-050208-780
sh3bgrl2	ZDB-GENE-040704-38
nckap1	ZDB-GENE-030131-4426
si:dkeyp-3f10.17	
CR545469.1	
CT573356.4	
tcp11l2	ZDB-GENE-040426-1956
BX928751.6	
CR790382.2	
or109-6	ZDB-GENE-070804-7
ago1	ZDB-GENE-110606-3
C5H9orf85	
GALNTL6	
prom2	ZDB-GENE-080723-16
BX640547.5	
pdcd11	ZDB-GENE-030131-4076
si:dkey-239i20.2	ZDB-GENE-041001-98
BX649502.9	
KLHL29	
cdan1	ZDB-GENE-110411-280
cdk19	ZDB-GENE-040724-19
fam204a	ZDB-GENE-040718-271
cnksr2b	ZDB-GENE-030131-8048
BX649529.1	
hs3st4	ZDB-GENE-070202-8
BX088540.1	
mlxip	ZDB-GENE-060526-8
oc90	ZDB-GENE-070912-300
FO818692.1	
zdhhc20a	ZDB-GENE-070424-38
chrnb3a	ZDB-GENE-040108-1
npy2r	ZDB-GENE-040924-8
CT956056.1	
cpe	ZDB-GENE-090313-68
CU633478.1	
wu:fj29h11	ZDB-GENE-030131-7558
rd3	ZDB-GENE-040724-103
chek1	ZDB-GENE-040426-896
zgc:91999	ZDB-GENE-040801-241
ENKD1	
si:rp71-45g20.11	ZDB-GENE-070912-708
si:ch73-138n13.1	ZDB-GENE-091204-448
CABZ01085878.1	
si:dkey-238o14.3	
uxt	ZDB-GENE-040912-118
plxnb1b	ZDB-GENE-090812-4
tp53bp1	ZDB-GENE-030131-3695
vps13a	ZDB-GENE-030926-1
BX927243.1	
epc1b	ZDB-GENE-090609-1
slc2a10	ZDB-GENE-080204-6
usp45	ZDB-GENE-100211-2
BX324213.1	
CU468826.3	
CR318673.1	
padi2	ZDB-GENE-031116-67
TMEM233	
NAMPT	
pcdh1g31	ZDB-GENE-050609-24
si:dkey-111k8.2	
BX465834.1	
BX537338.1	
pias2	ZDB-GENE-060424-1
deaf1	ZDB-GENE-081022-163
si:ch73-299h12.4	
dgcr8	ZDB-GENE-030131-3421
pank1a	ZDB-GENE-040426-2846
FO082779.1	
CABZ01023973.1	
vps13d	ZDB-GENE-050912-1
si:dkey-88n24.7	ZDB-GENE-041014-91
taok2a	ZDB-GENE-030131-9416
tspan33a	ZDB-GENE-040718-361
si:dkey-187i8.2	ZDB-GENE-121214-181
wu:fa19b12	ZDB-GENE-030131-5231
shpk	ZDB-GENE-060526-357
bcan	ZDB-GENE-030131-6045
ahctf1	ZDB-GENE-070521-2
aqp1a.1	ZDB-GENE-030131-7764
zgc:112334	ZDB-GENE-050809-120
CU499336.2	
st3gal8	ZDB-GENE-050417-286
metap2b	ZDB-GENE-030131-2172
socs6b	ZDB-GENE-030131-1670
si:ch73-171o20.2	
tmem184a	ZDB-GENE-040426-2925
isg20l2	ZDB-GENE-070928-8
CR848057.1	
si:dkey-262g12.14	
hhatlb	ZDB-GENE-050506-130
CR788281.1	
trappc3	ZDB-GENE-040801-120
icn2	ZDB-GENE-070822-9
ints8	ZDB-GENE-050522-556
si:ch211-125e6.14	ZDB-GENE-070912-38
mamdc2b	ZDB-GENE-091117-16
BX324132.3	
si:ch211-284e13.4	ZDB-GENE-060526-161
dll4	ZDB-GENE-041014-73
nudt8	ZDB-GENE-061013-219
sh3gl1a	ZDB-GENE-030131-4524
sat1a.2	ZDB-GENE-040704-4
CU929037.3	
sec61a1	
si:dkeyp-81f3.4	ZDB-GENE-160113-129
CR356223.1	
or102-1	
abcb4	ZDB-GENE-080204-52
irgq1	ZDB-GENE-051212-3
si:dkey-85k15.4	ZDB-GENE-100922-242
upf1	ZDB-GENE-040426-2836
CU462817.4	
bhlha9	ZDB-GENE-030131-2201
pctp	ZDB-GENE-081022-182
BX571694.1	
epg5	ZDB-GENE-070705-307
mov10b.1	ZDB-GENE-030131-9089
CU571319.2	
zgc:153039	ZDB-GENE-060929-736
BX927362.1	
mob2b	ZDB-GENE-060616-319
cyp2k16	ZDB-GENE-041010-37
kcnh2a	ZDB-GENE-070912-699
mpdu1a	ZDB-GENE-040912-9
tmem69	ZDB-GENE-081022-98
pibf1	ZDB-GENE-040801-94
taf6	ZDB-GENE-040912-23
