TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites,TF,TF_family,max
nkx1.2la_tmsb4x,0.02191072,0.0,0.0,0.0,0.0,0.0,nkx1.2la,nkx,NMPs
nkx1.2la_alcamb,0.0,-0.021593835,0.0,0.0,0.0,0.0,nkx1.2la,nkx,NMPs
nkx1.2la_hspb1,0.026378263,0.022676935,0.0,0.0,0.0,0.0,nkx1.2la,nkx,NMPs
nkx1.2la_faua,0.0,0.0,0.0,0.022803461,0.0,0.0,nkx1.2la,nkx,NMPs
nkx1.2la_rps9,0.0,0.0,0.0,0.022355042,0.0,0.0,nkx1.2la,nkx,NMPs
nkx1.2la_tenm4,0.0,0.0,0.0,0.0,0.0,-0.022956757,nkx1.2la,nkx,NMPs
nkx1.2la_fn1b,0.0,0.0,0.0,0.0,-0.022246141,0.0,nkx1.2la,nkx,NMPs
nkx1.2la_rpl5b,0.0,0.028312372,0.025817517,0.028369622,0.0,0.0,nkx1.2la,nkx,NMPs
nkx1.2la_gdf11,0.0,0.0,-0.021893699,0.0,0.0,0.0,nkx1.2la,nkx,NMPs
rx3_fn1b,0.0,0.0,0.0,0.0,0.0,-0.029219853,rx3,rx,NMPs
rx3_rpl34,0.0,0.02158003,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_pcna,0.0,0.020364633,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_rps3a,0.0,0.0270192,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_msna,0.0,0.02341043,0.022152115,0.0,0.0,0.0,rx3,rx,NMPs
rx3_serpinh1b,0.0,0.0,0.0,0.022262365,0.0,0.0,rx3,rx,NMPs
rx3_faua,0.0,0.021331413,0.0,0.022088628,0.0,0.0,rx3,rx,NMPs
rx3_abcf1,0.0,0.0,0.0,0.0,0.0,0.024503747,rx3,rx,NMPs
rx3_eef1g,0.0,0.0,0.02321986,0.0,0.023587435,0.024512542,rx3,rx,NMPs
rx3_rpl3,0.0,0.026620531,0.029393816,0.0,0.022070816,0.0,rx3,rx,NMPs
rx3_rfx4,0.0,-0.020673368,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_dag1,0.0,-0.022308916,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_alcamb,0.0,-0.040006313,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_nectin1b,-0.02779216,-0.020661402,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_rps5,0.02870662,0.028721482,0.0,0.026164524,0.0,0.0,rx3,rx,NMPs
rx3_rpl5b,0.035557363,0.025018092,0.020389426,0.023323968,0.0,0.0,rx3,rx,NMPs
rx3_rps9,0.029840508,0.023912163,0.0,0.023642791,0.0,0.022861639,rx3,rx,NMPs
rx3_rps16,0.020540576,0.02321095,0.021022223,0.0,0.0,0.0,rx3,rx,NMPs
rx3_hspb1,0.020671608,0.023210792,0.020755468,0.0,0.0,0.0,rx3,rx,NMPs
rx3_rpl21,0.032028697,0.027016763,0.023013087,0.0,0.0,0.0,rx3,rx,NMPs
rx3_cx43.4,0.0,0.0,0.0,0.03393857,0.037970185,0.0,rx3,rx,NMPs
rx3_rps15a,0.0,0.020318681,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_metap2b,0.0,0.022259837,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_msgn1,0.0,0.0,-0.023360653,0.0,0.0,0.0,rx3,rx,NMPs
rx3_rpsa,0.0,0.02225667,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_si:dkey-26g8.5,0.0,0.0,0.0,-0.02224188,0.0,0.0,rx3,rx,NMPs
rx3_zgc:174855,0.0,0.0,0.0,-0.02246608,0.0,0.0,rx3,rx,NMPs
rx3_tenm4,0.0,0.0,0.0,0.0,-0.021893857,0.0,rx3,rx,NMPs
rx3_rpl17,0.019196112,0.0,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_her9,0.019725671,0.0,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_tmsb4x,0.020792438,0.0,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_hmga1a,0.022017172,0.0,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_cirbpa,0.022359982,0.0,0.0,0.0,0.0,0.0,rx3,rx,NMPs
rx3_rack1,0.022502318,0.0,0.022557467,0.0,0.0,0.0,rx3,rx,NMPs
rx3_hspe1,0.0,0.0,0.02092146,0.0,0.0,0.0,rx3,rx,NMPs
rx3_cfl1,0.0,0.0,0.021152314,0.0,0.0,0.0,rx3,rx,NMPs
rx3_ncl,0.0,0.0,0.021444608,0.0,0.0,0.0,rx3,rx,NMPs
rx3_fndc3ba,0.0,0.0,0.020113379,0.0,0.0,0.0,rx3,rx,NMPs
rx3_rpl11,0.0,0.0,0.020147767,0.0,0.0,0.0,rx3,rx,NMPs
rx3_rpl6,0.0,0.0,0.020194016,0.0,0.0,0.0,rx3,rx,NMPs
rx3_rps24,0.0,0.0,0.019861829,0.0,0.0,0.0,rx3,rx,NMPs
rx3_akap12b,0.0,0.0,0.022306371,0.0,0.0,0.0,rx3,rx,NMPs
rx3_marcksb,0.0,0.0,0.025479477,0.0,0.0,0.0,rx3,rx,NMPs
rx3_gdf11,0.0,0.0,0.03997145,0.0,0.0,0.0,rx3,rx,NMPs
rx3_apoc1,0.0,0.0,-0.030323997,0.021744704,0.049735177,0.0,rx3,rx,NMPs
zic2b_histh1l,0.06623402,0.04336784,0.060626525,0.08389603,0.06870189,0.049179986,zic2b,zic,tail_bud
zic2b_ctnnb1,0.03001272,0.0,0.024483126,0.033143453,0.026558487,0.0,zic2b,zic,tail_bud
zic2b_ctslb,0.0,0.0,0.0,0.025240041,0.0,0.02157218,zic2b,zic,tail_bud
zic2b_fbl,0.035515804,0.021064468,0.0,0.025490414,0.0,0.0,zic2b,zic,tail_bud
zic2b_olig4,0.0,0.025230572,0.0,0.0,0.0,0.0,zic2b,zic,tail_bud
zic2b_si:dkey-26g8.5,0.0,0.0,0.023521086,0.0,0.0,0.0,zic2b,zic,tail_bud
zic2b_snrnp70,0.021769555,0.027759816,0.0,0.0,0.0,0.0,zic2b,zic,tail_bud
zic2b_ptgdsb.1,0.0,0.047264844,0.0,0.0,0.0,0.0,zic2b,zic,tail_bud
zic2b_fn1b,0.0,0.0,0.0,0.0,0.0,-0.023059316,zic2b,zic,tail_bud
zic2b_hmgb2a,0.022214275,0.0,0.020253764,0.03547756,0.022663074,0.023927113,zic2b,zic,tail_bud
zic2b_setb,0.025789661,0.0,0.019975383,0.028371602,0.026185684,0.025814097,zic2b,zic,tail_bud
zic2b_cnbpb,0.019390538,0.02300258,0.023471119,0.023986142,0.0,0.0,zic2b,zic,tail_bud
