TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites
wt1a_serpinh1b,0.0,0.03406505,0.04114691,0.040646996,0.0,0.026128808
wt1a_rps15a,-0.021862768,-0.029440043,0.0,0.0,0.0,0.0
wt1a_tubb2b,-0.021738153,-0.025292106,0.0,0.0,0.0,0.0
dbx1a_rpl19,0.0,0.0,0.03672675,0.029057076,0.0,0.0
dbx1b_rpl5b,0.02207843,0.034168784,0.0,0.0,0.0,0.0
dbx1b_rps16,0.0,0.02937518,0.0,0.0,0.0,0.03183986
gsx1_cx43.4,0.0,0.0,0.0,0.073597096,0.041280378,0.0
gsx1_draxin,0.0,0.0,0.0,0.04367312,0.051273633,0.0
gsx1_alcamb,0.0,0.0,0.0,0.042341374,0.033185083,0.0
kdm2bb_rps26l,0.17734845,0.09598636,0.24287233,0.17920977,0.3439935,0.45639962
kdm2bb_cx43.4,0.0,0.0,0.031916365,0.041763443,0.04037982,0.0
kdm2bb_rpl5b,0.0,0.0,0.0,0.03023163,0.0,0.03412818
klf12b_cntfr,0.0,0.0,0.04216935,0.0,0.049790777,0.0
klf7b_syncrip,0.031864073,0.0,0.031180145,0.0,0.0,0.0
klf7b_hoxd12a,0.02132757,0.031374656,0.0,0.0,0.0,0.0
lhx4_metap2b,0.0,0.0,0.0,0.033675786,0.04023417,0.0
lhx4_faua,0.0,0.0,0.0,0.030596005,0.03693315,0.0
lhx2b_alcamb,0.0,0.027705485,0.036906116,0.0,0.0,0.0
lhx4_pcna,0.0,0.0,0.026183082,0.030608067,0.0,0.0
gli3_sulf1,0.0,0.03202761,0.0,0.07099302,0.031419016,0.0
gli3_cxcl12a,0.051271856,0.0,0.0,0.0,0.0399692,0.0
gli3_greb1l,0.04564632,0.067310065,0.0,0.0,0.031887624,0.0
gli3_tet3,0.022714881,0.027682355,0.0,0.0,0.0,0.0
gli3_col11a1a,0.0,0.031748828,0.024404453,0.0,0.0,0.0
dlx4a_alcamb,0.038770597,0.057436213,0.0,0.0,0.0,0.0
dlx4a_cx43.4,0.03155708,0.02524582,0.0,0.0,0.0,0.0
dlx4a_chrd,0.028092427,0.02952517,0.0,0.0,0.0,0.0
dlx4a_rps5,0.03290086,0.0,0.026014218,0.0,0.0,0.0
dlx4a_fn1b,0.023849668,0.0,0.033017684,0.033207223,0.0,0.0
noto_nectin1b,0.0,-0.025182756,0.0,0.0,0.0,-0.063172765
noto_fn1b,0.0,0.0,-0.02707038,-0.044486094,0.0,0.0
noto_hspb1,0.025354622,0.025906257,0.0,0.0,0.0,0.0
noto_rpl13a,0.037790585,0.0,0.0,0.0,-0.031729534,0.0
noto_faua,0.020893864,0.0,0.0,0.0,-0.03927446,0.0
tp63_pcna,0.0,0.0,0.024567282,0.031838242,0.0,0.0
tp63_rpl19,0.02961629,0.0,0.0,0.030626858,0.0,0.026638174
tp63_serbp1a,0.025457641,0.0,0.0,0.028684095,0.0,0.0
tp63_rpl8,0.026470447,0.026134176,0.0,0.032539424,0.030149227,0.0
tp63_abcf1,0.021158466,0.029424282,0.0,0.028499393,0.0,0.0
dnmt1_mdka,0.0,0.027340561,0.0,0.0,0.035498135,0.09134955
dnmt1_nasp,0.0,0.03933298,0.0,0.0,0.0,0.027080037
dnmt1_rpl24,0.0,0.026939886,0.023326622,0.02846913,0.0,0.0
dnmt1_ran,0.0,0.042651936,0.042344857,0.0,0.0,0.0
