TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites,TF,TF_family
lbx2_rpl18a,0.022122188,0.032658976,0.030897554,0.033718903,0.0,0.0,lbx2,lbx
lbx2_metap2b,0.0259602,0.026468819,0.032929003,0.036275003,0.0,0.037090845,lbx2,lbx
lbx2_rpl10a,0.037795104,0.034902826,0.0342411,0.028777486,0.0,0.021804253,lbx2,lbx
lbx2_tma7,0.037017018,0.035449605,0.04257795,0.032826535,0.0,0.023522092,lbx2,lbx
lbx2_rpl32,0.023972401,0.03452187,0.039698783,0.02623892,0.0,0.02078251,lbx2,lbx
lbx2_tmsb4x,0.035427723,0.02766934,0.03190425,0.029206917,0.0,0.032355025,lbx2,lbx
lbx2_rpl34,0.027948072,0.028019795,0.041752953,0.027805062,0.0,0.02818658,lbx2,lbx
lbx2_histh1l,0.032230213,0.030421492,0.036361963,0.027600132,0.0,0.024923408,lbx2,lbx
lbx2_hmgb2a,0.028081194,0.028678559,0.031112393,0.025458505,0.0,0.026527584,lbx2,lbx
lbx2_rps19,0.037464406,0.040854517,0.04558452,0.03516267,0.0,0.033293366,lbx2,lbx
lbx2_ncl,0.025981458,0.03884016,0.038370144,0.036876444,0.0,0.029341783,lbx2,lbx
lbx2_rpl18,0.02551982,0.030402372,0.045032248,0.036998138,0.029743398,0.0,lbx2,lbx
lbx2_fn1b,0.032782234,0.039345313,0.04340336,0.050820548,0.048875265,0.022564588,lbx2,lbx
lbx2_hspe1,0.045504726,0.02455147,0.048258398,0.036898732,0.03903921,0.028455066,lbx2,lbx
lbx2_rpl17,0.032508425,0.032879476,0.0537148,0.036372233,0.025735788,0.024217917,lbx2,lbx
lbx2_hmga1a,0.031965576,0.036226835,0.041269112,0.03317913,0.031427693,0.02756611,lbx2,lbx
lbx2_hmgb3a,0.022637734,0.031778615,0.041574724,0.030679679,0.026990384,0.03392279,lbx2,lbx
lbx2_cbx3a,0.027200691,0.028808028,0.028369654,0.039376844,0.03665712,0.02417891,lbx2,lbx
lbx2_rpl7a,0.03570702,0.03349993,0.030793045,0.02842773,0.02986016,0.022845225,lbx2,lbx
lbx2_hspa8,0.03535955,0.04096768,0.031091388,0.028907899,0.02663555,0.025020132,lbx2,lbx
lbx2_eef2b,0.0,0.0,0.042063296,0.0,0.0,0.02480093,lbx2,lbx
lbx2_ptges3b,0.0,0.0,0.029840918,0.0,0.0,0.03796414,lbx2,lbx
lbx2_asph,0.0,0.0,0.028911466,0.0,0.0,0.022889514,lbx2,lbx
lbx2_ddx39aa,0.0,0.0,0.025768025,0.0,0.0,0.024439948,lbx2,lbx
lbx2_rps3a,0.034139346,0.0,0.027249753,0.0,0.0,0.028326696,lbx2,lbx
lbx2_rpl11,0.030156007,0.0,0.028101197,0.0,0.0,0.024068575,lbx2,lbx
lbx2_si:dkey-67c22.2,0.02674185,0.0,0.028232383,0.0,0.0,0.027424427,lbx2,lbx
lbx2_si:ch73-281n10.2,0.025056921,0.0,0.02911606,0.0,0.0,0.025843997,lbx2,lbx
lbx2_hmgn6,0.028770037,0.0,0.032786958,0.0,0.0,0.0,lbx2,lbx
