TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
mafbb_asap2a,0.0,0.0,0.0,0.036686935,0.0,0.0,mafbb,maf,16hpf
mafbb_rbfox1l,0.0,0.0,0.0,0.05442598,0.0,0.0,mafbb,maf,16hpf
mafbb_npm1a,0.0,0.0,0.0,0.0,0.028607875,0.0,mafbb,maf,16hpf
mafbb_midn,0.0,0.0,0.0,0.05507372,0.0,0.0,mafbb,maf,16hpf
mafbb_nop56,0.0,0.0,0.0,0.0,0.0,0.029063364,mafbb,maf,16hpf
mafbb_boc,0.0,0.0,0.0,0.0,-0.029216986,0.0,mafbb,maf,16hpf
mafbb_apoeb,0.0,0.0,0.0,0.0,0.0,-0.067301586,mafbb,maf,16hpf
mafbb_fn1b,0.0,-0.025042694,0.0,0.0,0.0,0.0,mafbb,maf,16hpf
mafbb_mdka,0.0,0.0,0.0,0.04398848,0.05710077,0.0,mafbb,maf,16hpf
mafbb_pax6a,0.0,0.0,0.0,0.0,0.0,0.020767966,mafbb,maf,16hpf
mafbb_hsp90aa1.1,0.0,0.0,0.0,0.05757376,0.040652253,0.0,mafbb,maf,16hpf
mafbb_mybphb,0.0,0.0,0.0,0.04474006,0.030041292,0.0,mafbb,maf,16hpf
mafbb_efemp2b,0.0,0.0,0.0,0.07993999,0.0,0.0,mafbb,maf,16hpf
mafbb_meis1a,0.0,0.0,0.0,0.077017464,0.0,0.0,mafbb,maf,16hpf
mafba_mdka,0.0,0.0,0.0,0.03327324,0.0,0.0,mafba,maf,12hpf
mafba_efemp2a,0.0,0.0,-0.039601855,0.0,0.0,0.0,mafba,maf,12hpf
mafba_meis1a,0.0,0.0,0.0,0.053894673,-0.051224496,0.0,mafba,maf,12hpf
mafba_eef1a1l1,0.0,0.07636234,0.0,0.0,0.0,0.0,mafba,maf,12hpf
mafba_apoeb,0.0,0.0,-0.035385318,-0.036815297,0.05631045,-0.030719522,mafba,maf,12hpf
mafba_cfl1,0.0,0.021149,0.0,0.0,0.0,0.0,mafba,maf,12hpf
mafba_faua,0.019965123,0.028710822,0.0,0.0,0.0,0.0,mafba,maf,12hpf
mafba_rpl5b,0.0,0.03343314,0.0,0.0,0.0,0.0,mafba,maf,12hpf
mafba_rpsa,0.0,0.032454744,0.0,0.0,0.0,0.0,mafba,maf,12hpf
mafba_rps16,0.0,0.02631098,0.0,0.0,0.0,0.0,mafba,maf,12hpf
mafba_seta,0.0,0.023448031,0.0,0.0,0.0,0.0,mafba,maf,12hpf
mafba_pleca,0.0,0.0,0.0,0.0,0.0,-0.018827109,mafba,maf,12hpf
mafba_alcamb,0.027655229,0.0310809,0.04226199,0.0,0.0,0.0,mafba,maf,12hpf
mafba_serpinh1b,0.0,-0.02159885,0.0,0.0,0.0,0.0,mafba,maf,12hpf
mafba_col18a1a,0.0,0.0,0.0,0.0,-0.030269315,0.0,mafba,maf,12hpf
mafba_efemp2b,0.0,0.0,0.0,0.0,-0.03806974,0.0,mafba,maf,12hpf
mafba_sox11a,0.0,0.0,0.0,0.0,0.0,0.022085985,mafba,maf,12hpf
mafba_postnb,0.0,0.0,0.0,0.0,0.0,0.022354456,mafba,maf,12hpf
mafba_rps12,0.0,0.0,0.0,0.0,0.0,0.017949607,mafba,maf,12hpf
mafba_apela,0.026372937,0.0,0.0,0.0,0.0,0.0,mafba,maf,12hpf
mafba_serbp1a,0.027151888,0.0,0.0,0.0,0.0,0.0,mafba,maf,12hpf
mafba_ran,0.022230135,0.0,0.0,0.0,0.0,0.0,mafba,maf,12hpf
mafba_kirrel3l,0.0,-0.031027634,0.0,0.0,0.0,0.0,mafba,maf,12hpf
mafba_rpl34,0.026789833,0.025820645,0.02655829,0.0,0.0,0.0,mafba,maf,12hpf
mafba_zbtb16a,0.0,0.0,0.0,0.0,0.030790094,0.0,mafba,maf,12hpf
mafba_pax6a,0.0,0.0,0.0,0.0,0.031772844,0.0,mafba,maf,12hpf
mafba_robo1,0.0,0.0,0.0,0.0,0.026445182,0.0,mafba,maf,12hpf
mafba_notch1a,0.0,0.0,0.0,0.0,0.026528215,0.0,mafba,maf,12hpf
mafba_asph,0.0,0.0,0.0,0.0,0.025210178,0.0,mafba,maf,12hpf
mafba_rps15a,0.0,0.02506351,0.026795277,0.0,0.0,0.0,mafba,maf,12hpf
mafba_hmga1a,0.0,0.025533406,0.032252602,0.0,0.0,0.0,mafba,maf,12hpf
mafba_tuba8l,0.0,0.0,0.027657647,0.0,0.0,0.0,mafba,maf,12hpf
mafba_rpl15,0.19901201,0.0,0.0,0.0,0.0,0.0,mafba,maf,12hpf
klf7b_id1,0.0,0.0,0.0,0.0,0.0,-0.043015216,klf7b,klf,24hpf
klf7b_cited4a,0.0,0.0,0.0,0.0,0.0,0.029261805,klf7b,klf,24hpf
klf6a_sfrp5,0.0,0.0,0.0,0.0,0.0,0.022709081,klf6a,klf,24hpf
klf7b_cnbpb,0.0,0.0,0.0,0.0,0.0,0.022908779,klf7b,klf,24hpf
klf6a_cdh11,0.0,0.0,0.0,0.0,0.0,0.02243228,klf6a,klf,24hpf
klf1_efemp2a,0.0,0.0,0.0,0.0,0.0,0.02252544,klf1,klf,24hpf
klf6a_id1,0.0,0.0,0.0,0.0,0.0,0.022073725,klf6a,klf,24hpf
klf7b_rpl13a,0.0,0.0,0.0,0.0,0.0,-0.06104369,klf7b,klf,24hpf
klf6a_hapln1a,0.0,0.0,0.0,0.0,0.0,0.025413327,klf6a,klf,24hpf
klf7b_hapln1a,0.0,0.0,0.0,0.0,0.0,0.01805241,klf7b,klf,24hpf
klf6a_col1a1b,0.0,0.0,0.0,0.0,0.0,0.01841761,klf6a,klf,24hpf
klf6a_ebf3a,0.0,0.0,0.0,0.0,0.0,0.018825343,klf6a,klf,24hpf
