TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
zic4_boc,0.0,0.0,0.0,0.0,0.0,0.011927996,zic4,zic,24hpf
zic2a_mibp2,0.0,0.0,0.0,0.0,0.0,0.011929572,zic2a,zic,24hpf
zic1_cnbpb,0.0,0.0,0.0,0.0,0.0,0.01193723,zic1,zic,24hpf
zic2a_histh1l,0.0,0.0,0.0,0.0,0.0,0.01202441,zic2a,zic,24hpf
zic1_boc,0.0,0.0,0.0,0.0,0.0,0.010839548,zic1,zic,24hpf
zic1_gfap,0.0,0.0,0.0,0.0,0.0,0.010931874,zic1,zic,24hpf
zic5_mibp2,0.0,0.0,0.0,0.0,0.0,0.0067081302,zic5,zic,24hpf
zic2a_lrrn1,0.0,0.0,0.0,0.0,0.0,0.011096911,zic2a,zic,24hpf
zic2a_gfap,0.0,0.0,0.0,0.0,0.0,0.011040208,zic2a,zic,24hpf
zic5_cnbpb,0.0,0.0,0.0,0.0,0.0,0.011295557,zic5,zic,24hpf
zic2a_boc,0.0,0.0,0.0,0.0,0.0,0.014038525,zic2a,zic,24hpf
zic4_rpsa,0.0,0.0,0.0,0.0,0.0,0.01006262,zic4,zic,24hpf
zic1_sox11a,0.0,0.0,0.0,0.0,0.0,0.009740995,zic1,zic,24hpf
zic4_lrrn1,0.0,0.0,0.0,0.0,0.0,0.00980207,zic4,zic,24hpf
zic4_col2a1a,0.0,0.0,0.0,0.0,0.0,0.0095172515,zic4,zic,24hpf
zic5_rpsa,0.0,0.0,0.0,0.0,0.0,0.008937994,zic5,zic,24hpf
zic2a_sox11a,0.0,0.0,0.0,0.0,0.0,0.009956787,zic2a,zic,24hpf
zic1_rpsa,0.0,0.0,0.0,0.0,0.0,0.009143303,zic1,zic,24hpf
zic2a_cnbpb,0.0,0.0,0.0,0.0,0.0,0.013393723,zic2a,zic,24hpf
zic2a_kirrel3l,0.0,0.0,0.0,0.0,0.0,0.006640554,zic2a,zic,24hpf
zic3_fgfrl1a,0.0,0.0,0.0,0.025655081,0.016785365,0.0,zic3,zic,16hpf
zic3_npm1a,0.0,-0.03141345,0.0,0.0,0.0,0.0,zic3,zic,16hpf
zic3_boc,0.0,0.0,0.0,0.022308173,0.0,0.0,zic3,zic,16hpf
zic3_wif1,0.0,0.0,0.0,0.038001288,0.022937397,0.0,zic3,zic,16hpf
zic3_net1,0.0,0.0,0.0,0.021984722,0.0,0.0,zic3,zic,16hpf
zic6_szl,0.0,0.0,0.0,0.025906147,0.0,0.0,zic6,zic,16hpf
zic3_jarid2b,0.0,0.0,0.0,0.035562765,0.0,0.0,zic3,zic,16hpf
zic3_szl,-0.10380369,-0.047700454,0.0,0.0,0.0,0.0,zic3,zic,16hpf
zic3_sox6,0.0,0.0,-0.028248068,-0.060699146,0.0,0.0,zic3,zic,16hpf
zic3_fbn2b,0.0,0.0,0.0,-0.028078744,0.0,0.0,zic3,zic,16hpf
zic3_hoxb7a,0.0,0.02268015,0.0,0.0,0.0,0.0,zic3,zic,16hpf
zic3_histh1l,0.0,0.026210116,0.0,0.0,0.0,0.0,zic3,zic,16hpf
zic3_ctnnb1,0.0,0.030454073,0.0,0.0,0.0,0.0,zic3,zic,16hpf
zic3_msgn1,0.0,0.0,0.033585317,0.0,0.021105116,0.0,zic3,zic,16hpf
zic3_egfl6,0.0,0.0,0.0,0.0,0.018079298,0.0,zic3,zic,16hpf
zic3_ism1,0.0,0.0,0.0,0.0,0.0139630595,0.0,zic3,zic,16hpf
zic3_hmgb2a,0.0,0.0,0.0,0.0,0.013353877,0.0,zic3,zic,16hpf
zic3_marcksb,0.02531258,0.0,0.0,0.0,0.0,0.0,zic3,zic,16hpf
zic3_fn1b,0.05554544,0.037358165,0.069030166,0.0,0.036791693,0.0,zic3,zic,16hpf
zic2b_rpl34,0.0,0.0,0.053907063,0.0,0.0,0.0,zic2b,zic,12hpf
zic2b_snrpb2,0.027937597,0.0,0.0,0.0,0.0,0.0,zic2b,zic,12hpf
zic2b_fkbp3,0.025628598,0.0,0.0,0.0,0.0,0.0,zic2b,zic,12hpf
zic2b_npm1a,0.0,0.06852736,0.0,0.0,0.0,0.0064738933,zic2b,zic,12hpf
zic2b_rpl12,0.034913804,0.0,0.0,0.0,0.0,0.0,zic2b,zic,12hpf
zic2b_hmgb1b,0.032119997,0.0,0.0,0.0,0.0,0.0,zic2b,zic,12hpf
zic2b_histh1l,0.044728883,0.08389603,0.0,0.0,0.0,0.021281272,zic2b,zic,12hpf
zic2b_gfap,0.0,0.0,0.0,0.0,0.0,0.011231081,zic2b,zic,12hpf
zic2b_sox11a,0.0,0.0,0.0,0.0,0.0,0.0073374896,zic2b,zic,12hpf
zic2b_boc,0.0,0.0,0.0,0.0,0.0,0.008691602,zic2b,zic,12hpf
zic2b_rpsa,0.026282366,0.04097142,0.028890999,0.0,0.0,0.009664313,zic2b,zic,12hpf
zic2b_rpl24,0.0,0.028854715,0.0,0.0,0.0,0.0,zic2b,zic,12hpf
zic2b_ctnnb1,0.0,0.033143453,0.0,0.0,0.0,0.0,zic2b,zic,12hpf
zic2b_ctslb,0.0,0.025240041,0.0,0.0,0.0,0.0,zic2b,zic,12hpf
zic2b_fbl,0.0,0.025490414,0.0,0.0,0.0,0.0,zic2b,zic,12hpf
zic2b_cnbpb,0.0,0.023986142,0.0,0.0,0.0,0.0074488455,zic2b,zic,12hpf
zic2b_marcksb,0.0,0.037501045,0.0,0.0,0.0,0.0,zic2b,zic,12hpf
zic2b_szl,0.0,0.0,-0.03179634,0.0,0.0,0.0,zic2b,zic,12hpf
zic2b_setb,0.029384013,0.028371602,0.0,0.0,0.0,0.0,zic2b,zic,12hpf
zic2b_tuba8l4,0.031418286,0.023463931,0.0,0.0,0.0,0.0,zic2b,zic,12hpf
zic2b_hmgb2a,0.031032473,0.03547756,0.0,0.0,0.0,0.012129909,zic2b,zic,12hpf
zic2b_si:dkey-239j18.2,0.0,0.028121762,0.0,0.0,0.0,0.0,zic2b,zic,12hpf
nkx2.4b_rpl12,0.0,0.0,0.0,0.0,0.0,0.0112146195,nkx2.4b,nkx,24hpf
nkx2.2a_hmga1a,0.0,0.0,0.0,0.0,0.0,0.006342387,nkx2.2a,nkx,24hpf
nkx2.2a_rpl7a,0.0,0.0,0.0,0.0,0.0,0.006473775,nkx2.2a,nkx,24hpf
nkx2.4a_hsp90ab1,0.0,0.0,0.0,0.0,0.0,0.006491529,nkx2.4a,nkx,24hpf
nkx2.2a_slc25a5,0.0,0.0,0.0,0.0,0.0,0.006618836,nkx2.2a,nkx,24hpf
nkx2.4a_id1,0.0,0.0,0.0,0.0,0.0,0.008358356,nkx2.4a,nkx,24hpf
nkx2.2a_id1,0.0,0.0,0.0,0.0,0.0,0.008386964,nkx2.2a,nkx,24hpf
nkx2.1_eef1a1l1,0.0,0.0,0.0,0.0,0.0,0.008199915,nkx2.1,nkx,24hpf
nkx2.4a_rps12,0.0,0.0,0.0,0.0,0.0,0.007774382,nkx2.4a,nkx,24hpf
nkx2.1_cfl1,0.0,0.0,0.0,0.0,0.0,0.007808754,nkx2.1,nkx,24hpf
nkx2.2a_bcam,0.0,0.0,0.0,0.0,0.0,0.00773927,nkx2.2a,nkx,24hpf
nkx2.2a_rxraa,0.0,0.0,0.0,0.0,0.0,-0.022818115,nkx2.2a,nkx,24hpf
nkx2.2a_pax7a,0.0,0.0,0.0,0.0,0.0,0.019584615,nkx2.2a,nkx,24hpf
nkx2.1_pax7a,0.0,0.0,0.0,0.0,0.0,0.021899026,nkx2.1,nkx,24hpf
nkx2.4a_fn1b,0.0,0.0,0.0,0.024041982,0.0,0.0,nkx2.4a,nkx,24hpf
nkx2.1_sulf1,0.0,0.0,0.0,0.022929853,0.0,0.0,nkx2.1,nkx,24hpf
