TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
etv5a_tbx16,-0.050451387,-0.038875125,-0.031156236,0.0,0.0,0.0,etv5a,etv,10hpf
etv5a_fn1b,-0.04890952,-0.03526434,-0.024695775,0.0,0.0,0.0,etv5a,etv,10hpf
etv2_tbx16,-0.030282114,0.0,0.0,-0.026876515,0.0,0.0,etv2,etv,10hpf
etv5a_msgn1,-0.03149867,0.0,-0.022205483,0.0,0.0,0.0,etv5a,etv,10hpf
etv5a_sulf1,0.047180694,0.022980278,0.0,0.0,0.0,0.0,etv5a,etv,10hpf
etv5a_itm2cb,0.061077014,0.023837917,0.042195022,0.0,0.0,0.0,etv5a,etv,10hpf
etv5a_apela,0.05085288,0.0,0.039456017,0.0,0.0,0.0,etv5a,etv,10hpf
etv5a_fgf8a,0.030756619,0.0,0.031536836,0.0,0.0,0.0,etv5a,etv,10hpf
etv2_cfl1,0.033919994,0.0,0.0,0.02308094,0.0,0.0,etv2,etv,10hpf
etv2_rps5,0.036510404,0.024919191,0.0,0.0,0.0,0.0,etv2,etv,10hpf
etv2_rpl3,0.03415896,0.019998107,0.0,0.0,0.0,0.0,etv2,etv,10hpf
etv2_apoeb,0.0,0.0,0.034199085,0.0,0.037853036,0.0,etv2,etv,10hpf
etv5a_prickle1b,0.0,0.020311784,0.06397476,0.0,0.0,0.0,etv5a,etv,10hpf
etv5a_gdf11,0.052614108,0.03479119,0.10311629,0.0,0.0,0.0,etv5a,etv,10hpf
en2a_rps20,0.0,0.0,0.0,0.0,0.018867278,0.009162949,en2a,en,19hpf
en2a_cirbpa,0.0,0.0,0.0,0.025148185,0.022644013,0.0073102987,en2a,en,19hpf
en2a_si:ch73-281n10.2,0.0,0.0,0.0,0.0,0.013067281,0.005863522,en2a,en,19hpf
en2a_rps2,0.0,0.0,0.0,0.0,0.0127582755,0.0041823112,en2a,en,19hpf
en2a_ncl,0.0,0.0,0.024728147,0.020083638,0.012590657,0.0,en2a,en,19hpf
en2a_eef1a1l1,0.0,0.0,0.0,0.0,0.011520999,0.0052740905,en2a,en,19hpf
en2a_hmga1a,0.0,0.0,0.0,0.020001361,0.015283159,0.007052199,en2a,en,19hpf
en2a_mki67,0.0,0.0,0.0,0.0,0.018523527,0.0052066967,en2a,en,19hpf
en2a_hmgb2a,0.0,0.0,0.0,0.024005832,0.0,0.0049528396,en2a,en,19hpf
en2a_ptmab,0.0,0.0,0.0,0.020454811,0.0,0.005188032,en2a,en,19hpf
en2a_msna,0.0,0.0,0.0,0.019947045,0.03251852,0.0,en2a,en,19hpf
en1a_mllt3,0.0,0.0,0.0,-0.020211592,0.0,-0.004010295,en1a,en,16hpf
en2b_msna,0.0,0.036595184,0.0,0.0,0.012508021,0.0,en2b,en,14hpf
en2b_hmgb2a,0.0,0.0,0.023358084,0.0,0.014376912,0.0,en2b,en,14hpf
en2b_nop58,0.0,0.022052381,0.02313051,0.0,0.015796,0.0,en2b,en,14hpf
en2b_cx43.4,0.0,0.0,-0.026496941,0.0,0.015181899,0.0,en2b,en,14hpf
en2b_hspb1,0.0,0.029980337,0.0,0.0,0.011367528,0.0,en2b,en,14hpf
en2b_rpl19,0.0,0.020545235,0.040661614,0.0,0.0,0.0,en2b,en,14hpf
en2b_hmga1a,0.0,0.0,0.0237967,0.0,0.014651772,0.0,en2b,en,14hpf
en2b_rps9,0.0,0.027390935,0.023356453,0.0,0.0,0.0,en2b,en,14hpf
en2b_rpl13a,0.0,0.02169476,0.024058238,0.0,0.0,0.0,en2b,en,14hpf
en2b_rps5,0.0,0.021668795,0.024144098,0.0,0.0,0.0,en2b,en,14hpf
en2b_rpl5b,0.0,0.03209587,0.03003964,0.0,0.0,0.0,en2b,en,14hpf
en2b_rps16,0.0,0.028785279,0.027812365,0.0,0.0,0.0,en2b,en,14hpf
en2b_tubb2b,0.0,0.029096633,0.029980535,0.0,0.0,0.0,en2b,en,14hpf
en2b_akap12b,0.0,0.029041678,0.030188864,0.0,0.0,0.0,en2b,en,14hpf
en2b_faua,0.0,0.025852049,0.03534269,0.0,0.0,0.0,en2b,en,14hpf
en2b_rpl8,0.0,0.021131787,0.03141856,0.0,0.0,0.0,en2b,en,14hpf
en2b_rpl11,0.0,0.020578593,0.031054419,0.0,0.0,0.0,en2b,en,14hpf
en2b_cirbpa,0.0,0.0,0.028592523,0.0,0.023750989,0.0,en2b,en,14hpf
en2b_serbp1a,0.0,0.0,0.03362551,0.0,0.013314138,0.0,en2b,en,14hpf
en2b_ptmab,0.0,0.0,0.030362487,0.0,0.014482105,0.0,en2b,en,14hpf
en2b_eef1a1l1,0.0,0.0,0.025038823,0.0,0.019496119,0.0,en2b,en,14hpf
en2b_msgn1,0.0,0.0,0.0,-0.037886284,-0.021284757,0.0,en2b,en,14hpf
tbx18_qkia,0.0,0.0,0.031441323,0.0,0.014636045,0.003963646,tbx18,tbx,19hpf
tbx18_meox1,0.0,0.023012297,0.0,0.073687725,0.016926682,0.0,tbx18,tbx,19hpf
tbx18_efemp2b,0.0,0.0,0.0,0.04808033,0.024954954,0.012935992,tbx18,tbx,19hpf
tbx18_tenm4,0.0,0.0,0.0,0.02797617,0.017379615,0.0051075034,tbx18,tbx,19hpf
tbx16_msgn1,0.070262715,0.08447503,0.10682756,0.08003649,0.053740907,0.004281886,tbx16,tbx,16hpf
tbx16_fn1a,0.0,0.0,0.043873273,0.026723238,0.0,0.0,tbx16,tbx,16hpf
tbx16_rps15a,0.0,0.022050742,0.040600896,0.0,0.0,0.0,tbx16,tbx,16hpf
tbx16_dhrs3b,0.0,0.0,0.022835135,0.028987171,0.013774644,0.0,tbx16,tbx,16hpf
tbx16_rrm2,0.0,0.0,0.026262663,0.032984797,0.0,0.0,tbx16,tbx,16hpf
tbx16_her7,0.033944268,0.023069363,0.0,0.0,0.0,0.0,tbx16,tbx,16hpf
tbx16_sulf1,0.0,0.028474336,0.0,0.026795553,0.024780815,0.00901104,tbx16,tbx,16hpf
tbx16_timm50,0.030714348,0.0,0.028174777,0.0,0.0,0.0,tbx16,tbx,16hpf
tbx16_qkia,0.031774376,0.019911177,0.029879283,0.0,0.0,0.009174937,tbx16,tbx,16hpf
tbx16_sema4c,-0.027450223,0.0,0.0,0.0,0.0,0.004534143,tbx16,tbx,16hpf
tbx16_cdh6,-0.027545722,0.0,-0.02752206,0.0,0.0,0.0,tbx16,tbx,16hpf
tbx16_nucks1a,-0.03419488,0.020915242,0.0,0.03215242,0.0,0.0,tbx16,tbx,16hpf
tbx16_sox5,0.0,0.028649967,0.0,0.054970186,0.024335084,0.009404542,tbx16,tbx,16hpf
tbx16_dld,0.0,0.0366072,0.0,0.0,0.012326112,0.0,tbx16,tbx,16hpf
tbx16_aplnra,0.0,0.022344133,0.0,0.024101995,0.0,0.005172543,tbx16,tbx,16hpf
tbx16_rbm38,0.08914723,0.10051684,0.10017279,0.07559143,0.028315876,0.0,tbx16,tbx,16hpf
tbx16_tenm4,0.0,0.0,0.0,0.0,0.013210864,0.011991369,tbx16,tbx,16hpf
tbx16_ngfb,0.0,0.0,0.0,0.0,0.010967459,0.0074236584,tbx16,tbx,16hpf
tbx16_hspa12a,0.0,0.0,0.0,0.024877088,0.012038046,0.0,tbx16,tbx,16hpf
tbx16_cyp26a1,0.0,0.0,0.0,0.020748384,0.014246345,0.0,tbx16,tbx,16hpf
tbx16_wnt5b,0.0,0.0,0.0,0.035302904,0.017103383,0.0,tbx16,tbx,16hpf
tbx16_col11a1a,0.0,0.0,0.0,0.027788464,0.0257702,0.0,tbx16,tbx,16hpf
tbx16_lef1,0.0,0.04762807,0.07170938,0.056694362,0.025149329,0.0,tbx16,tbx,16hpf
tbx16_cx43.4,0.077862106,0.02662919,0.06526918,0.0466166,0.03177099,0.0,tbx16,tbx,16hpf
tbx16_tbx16l,0.05744553,0.06855797,0.06186477,0.04625866,0.057767935,0.0,tbx16,tbx,16hpf
tbx16_syncrip,0.059682272,0.049740084,0.08292442,0.0,0.0,0.0,tbx16,tbx,16hpf
tbx16_dlc,0.065606914,0.033256516,0.027916154,0.030988978,0.0121422205,0.0,tbx16,tbx,16hpf
tbx16_cirbpa,0.027917892,0.030408284,0.050054606,0.023144234,0.0,0.0,tbx16,tbx,16hpf
tbx16_itm2cb,0.116658725,0.067274265,0.15454319,0.1704322,0.10520064,0.0,tbx16,tbx,16hpf
tbx16_pax3a,0.0,-0.038473368,0.0,-0.022493593,0.0,0.013053298,tbx16,tbx,16hpf
tbx2b_cx43.4,0.032525226,0.0,0.0,0.0,0.014648285,0.0,tbx2b,tbx,10hpf
cdx4_rpl18a,0.0,0.021021733,0.025020424,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_rpl32,0.0,0.024362614,0.023459485,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_anp32e,0.05697699,0.032265272,0.02287349,0.0,0.0,0.0,cdx4,cdx,12hpf
cdx4_nop58,0.033533692,0.04722658,0.02256071,0.0,0.013333123,0.0,cdx4,cdx,12hpf
cdx4_her12,0.04528752,0.038293608,0.026782157,0.025238715,0.0,0.0,cdx4,cdx,12hpf
